2020_rank,name,2020_net_worth,2020_age,2020_country,2020_source,2020_broad_source
1001,nguyen thi phuong thao,2.1,49,vietnam,airlines,diversified
1001,husnu ozyegin,2.1,75,turkey,finance,diversified
1001,jay paul,2.1,72,united states,real estate,real estate
1001,krit ratanarak,2.1,73,thailand,media,real estate
1001,alexey repik,2.1,40,russia,pharmaceuticals,healthcare
1001,filiz sahenk,2.1,53,turkey,diversified,diversified
1001,alejandro santo domingo,2.1,43,united states,beer,food & beverage
1001,andres santo domingo,2.1,41,united states,beer,food & beverage
1001,leonard schleifer,2.1,67,united states,pharmaceuticals,healthcare
1001,shen guojun,2.1,57,china,retail,fashion & retail
1001,donald trump,2.1,73,united states,real estate,real estate
1001,ted turner,2.1,81,united states,cable television,media & entertainment
1001,masateru uno & family,2.1,73,japan,drugstores,fashion & retail
1001,stefan von holtzbrinck,2.1,56,germany,publishing,media & entertainment
1001,wang xicheng & family,2.1,71,china,tires,manufacturing
1001,william young,2.1,79,united states,plastics,manufacturing
1001,charles zegar,2.1,72,united states,bloomberg lp,media & entertainment
1001,zhang xuansong,2.1,48,china,supermarkets,fashion & retail
1001,zhang xuexin & family,2.1,72,china,aluminum,metals & mining
1001,zhao weiguo,2.1,53,china,it products,technology
1001,zhou bajin,2.1,84,china,auto parts,manufacturing
1063,s. daniel abraham,2,95,united states,slim-fast,food & beverage
1063,john armitage,2,60,ireland,hedge funds,finance & investments
1063,carol jenkins barnett,2,63,united states,publix supermarkets,food & beverage
1063,koos bekker,2,67,south africa,media,investments
1063,giuliana benetton,2,82,italy,fashion retail,investments
1063,luciano benetton,2,84,italy,fashion retail,investments
1063,thor bjorgolfsson,2,53,iceland,investments,diversified
1063,cao longxiang & family,2,62,china,pharmaceuticals,healthcare
1063,chen hua,2,54,china,real estate,real estate
1063,chen tei-fu,2,71,taiwan,herbal products,fashion & retail
1063,cho tak wong,2,73,hong kong,auto parts,manufacturing
1063,dermot desmond,2,69,ireland,finance,finance & investments
1063,ennio doris & family,2,79,italy,financial services,finance & investments
1063,glenn dubin,2,62,united states,hedge funds,finance & investments
1063,behdad eghbali,2,43,united states,private equity,finance & investments
1063,daniel ek,2,37,sweden,spotify,technology
1063,marcel erni,2,55,switzerland,private equity,finance & investments
1063,kenneth feld & family,2,71,united states,live entertainment,media & entertainment
1063,marcos galperin,2,,argentina,e-commerce,technology
1063,alfred gantner,2,52,switzerland,private equity,finance & investments
1063,alessandra garavoglia,2,60,italy,spirits,food & beverage
1063,fiona geminder,2,55,australia,manufacturing,manufacturing
1063,geng jianming,2,57,china,real estate,real estate
1063,alec gores,2,67,united states,private equity,finance & investments
1063,david gottesman,2,93,united states,investments,finance & investments
1063,alexandre grendene bartelle,2,70,brazil,shoes,fashion & retail
1063,stein erik hagen,2,63,norway,consumer goods,fashion & retail
1063,caroline hagen kjos,2,36,norway,conglomerate,diversified
1063,carlos hank rhon,2,72,mexico,banking,diversified
1063,bahaa hariri,2,53,lebanon,real estate,investments
1063,he zhaoxi,2,46,china,software,technology
1063,stanley hubbard,2,86,united states,directv,media & entertainment
1063,ji qi,2,53,china,hotels,motels
1063,vinod khosla,2,65,united states,venture capital,technology
1063,jonathan kwok,2,28,hong kong,real estate,real estate
1063,martin lau,2,47,hong kong,e-commerce,technology
1063,thomas lee,2,76,united states,private equity,finance & investments
1063,michael lee-chin,2,69,canada,mutual funds,finance & investments
1063,li ping,2,52,hong kong,batteries,automotive
1063,li yongxin & family,2,44,china,education,service
1063,lim kok thay,2,68,malaysia,casinos,gambling & casinos
1063,lin chang su-o,2,79,taiwan,real estate,real estate
1063,lin yinsun,2,56,china,agribusiness,food & beverage
1063,rudy ma,2,79,taiwan,finance,finance & investments
1063,hans melchers,2,81,netherlands,chemicals,investments
1063,jorge moll filho,2,75,brazil,hospitals,healthcare
1063,pedro moreira salles,2,60,brazil,banking,minerals
1063,david murdock,2,96,united states,dole,real estate
1063,katharina otto-bernstein,2,56,germany,real estate,real estate
1063,madhukar parekh,2,73,india,adhesives,manufacturing
1063,h. ross perot jr,2,61,united states,real estate,
1063,linda pritzker,2,66,united states,hotels,investments
1063,rodney sacks,2,70,united states,energy drinks,food & beverage
1063,t. denny sanford,2,84,united states,banking,credit cards
1063,erik selin,2,52,sweden,real estate,real estate
1063,shen wenrong,2,74,china,steel production,metals & mining
1063,kerry stokes,2,79,australia,construction equipment,media
1063,konstantin strukov,2,61,russia,gold,coal mining
1063,pat stryker,2,64,united states,medical equipment,healthcare
1063,sun guangxin,2,57,china,diversified,diversified
1063,alexander svetakov,2,52,russia,real estate,finance & investments
1063,hans sy,2,64,philippines,diversified,diversified
1063,herbert sy,2,63,philippines,diversified,diversified
1063,tian ming,2,66,china,measuring instruments,technology
1063,vincent viola,2,64,united states,electronic trading,finance & investments
1063,ronald wanek,2,78,united states,furniture,manufacturing
1063,urs wietlisbach,2,58,switzerland,private equity,finance & investments
1063,wu guangming,2,58,china,medical equipment,healthcare
1063,amy wyss,2,49,united states,medical equipment,healthcare
1063,xu chuanhua & family,2,85,china,chemicals,logistics
1063,yan zhi,2,47,china,real estate,real estate
1063,zhong shanshan,2,65,china,beverages,pharmaceuticals
1135,jose joao abdalla filho,1.9,74,brazil,investments,finance & investments
1135,george argyros & family,1.9,83,united states,real estate,investments
1135,sid bass,1.9,77,united states,oil,investments
1135,miriam baumann-blocher,1.9,45,switzerland,chemicals,manufacturing
1135,riley bechtel & family,1.9,68,united states,engineering,construction
1135,stephen bechtel jr,1.9,94,united states,engineering,
1135,nick caporella,1.9,84,united states,beverages,food & beverage
1135,chu lam yiu,1.9,50,hong kong,flavorings,manufacturing
1135,smita crishna-godrej,1.9,69,india,consumer goods,diversified
1135,jose luis cutrale,1.9,73,brazil,orange juice,food & beverage
1135,maria franca fissolo,1.9,85,italy,nutella,chocolates
1135,bruce flatt,1.9,54,canada,money management,finance & investments
1135,fong yun wah,1.9,95,hong kong,real estate,real estate
1135,adi godrej,1.9,78,india,consumer goods,diversified
1135,jamshyd godrej,1.9,71,india,consumer goods,diversified
1135,nadir godrej,1.9,69,india,consumer goods,diversified
1135,suat gunsel,1.9,67,cyprus,real estate,education
1135,hao hong,1.9,64,united states,pharmaceuticals,healthcare
1135,gudrun heine,1.9,65,germany,medical devices,healthcare
1135,hoi kin hong,1.9,67,macao,real estate,real estate
1135,rakesh jhunjhunwala,1.9,59,india,investments,finance & investments
1135,randal j. kirk,1.9,66,united states,pharmaceuticals,healthcare
1135,forrest li,1.9,42,singapore,gaming,media & entertainment
1135,li guoqiang,1.9,56,china,auto dealerships,automotive
1135,liang yunchao,1.9,51,china,nutritional supplements,food & beverage
1135,vincent lo,1.9,71,hong kong,real estate,real estate
1135,yusaku maezawa,1.9,44,japan,online retail,technology
1135,youssef mansour,1.9,74,egypt,diversified,diversified
1135,ermirio pereira de moraes,1.9,87,brazil,diversified,diversified
1135,maria helena moraes scripilliti,1.9,89,brazil,diversified,diversified
1135,fernando roberto moreira salles,1.9,73,brazil,banking,minerals
1135,joao moreira salles,1.9,58,brazil,banking,minerals
1135,walther moreira salles junior,1.9,63,brazil,banking,minerals
1135,bobby murphy,1.9,31,united states,snapchat,technology
1135,n.r. narayana murthy,1.9,73,india,software services,technology
1135,rishad naoroji,1.9,68,india,consumer goods,diversified
1135,jorge perez,1.9,70,united states,real estate,real estate
1135,jennifer pritzker,1.9,69,united states,hotels,investments
1135,nicholas pritzker,1.9,76,united states,hotels,investments
1135,j. joe ricketts & family,1.9,78,united states,td ameritrade,finance & investments
1135,larry robbins,1.9,50,united states,hedge funds,finance & investments
1135,ruan shuilong & family,1.9,84,china,chemicals,manufacturing
1135,carlos sanchez,1.9,58,brazil,generic drugs,healthcare
1135,hilton schlosberg,1.9,67,united kingdom,energy drinks,food & beverage
1135,klaus-peter schulenberg,1.9,,germany,ticketing service,service
1135,helmut sohmen,1.9,80,austria,shipping,logistics
1135,evan spiegel,1.9,29,united states,snapchat,technology
1135,jerzy starak,1.9,72,poland,pharmaceuticals,healthcare
1135,sybill storz,1.9,83,germany,medical devices,healthcare
1135,sylvia stroeher,1.9,64,germany,cosmetics,fashion & retail
1135,harley sy,1.9,60,philippines,diversified,diversified
1135,henry sy jr,1.9,67,philippines,diversified,
1135,andrew tan,1.9,70,philippines,diversified,diversified
1135,michael tojner,1.9,54,austria,batteries,investments
1135,georg von opel,1.9,53,switzerland,real estate,investments
1135,wang chaobin,1.9,64,china,real estate,real estate
1135,gordon wu,1.9,84,hong kong,real estate,real estate
1135,wu jianshu,1.9,56,hong kong,auto parts,automotive
1135,wu xushun & family,1.9,71,china,internet,auto parts
1135,gavril yushvaev,1.9,62,russia,precious metals,real estate
1135,zeng kaitian,1.9,45,china,online games,technology
1196,andrey andreev,1.8,46,united kingdom,online dating,technology
1196,edward bass,1.8,74,united states,oil,investments
1196,lee bass,1.8,63,united states,oil,investments
1196,tomasz biernacki,1.8,47,poland,supermarkets,fashion & retail
1196,josef boquoi & family,1.8,86,germany,frozen foods,food & beverage
1196,julio bozano,1.8,84,brazil,banking,finance & investments
1196,anand burman,1.8,67,india,consumer goods,food & beverage
1196,francesco gaetano caltagirone,1.8,77,italy,cement,diversified
1196,chen wenyuan & family,1.8,52,china,testing equipment,technology
1196,maria del pino y calvo-sotelo,1.8,64,spain,construction,construction & engineering
1196,robert duggan,1.8,75,united states,pharmaceuticals,healthcare
1196,james france,1.8,75,united states,nascar,racing
1196,peter gilgan,1.8,69,canada,homebuilding,construction & engineering
1196,senapathy gopalakrishnan,1.8,65,india,software services,technology
1196,peter grogg,1.8,78,switzerland,biochemicals,healthcare
1196,gu yuhua & family,1.8,70,china,furniture,manufacturing
1196,reid hoffman,1.8,52,united states,linkedin,technology
1196,huang qiaoling,1.8,61,china,amusement parks,media & entertainment
1196,kim taek-jin,1.8,53,south korea,online games,media & entertainment
1196,friedrich knapp,1.8,68,germany,fashion retail,fashion & retail
1196,yuri kovalchuk,1.8,68,russia,banking,insurance
1196,thomas kwok,1.8,68,hong kong,real estate,real estate
1196,marc lasry,1.8,59,united states,hedge funds,finance & investments
1196,lee yin yee,1.8,68,china,glass,manufacturing
1196,li hongxin & family,1.8,67,china,paper & related products,manufacturing
1196,li li,1.8,54,china,healthcare,healthcare
1196,li min,1.8,54,china,semiconductor,technology
1196,peter lim,1.8,66,singapore,investments,finance & investments
1196,lin fanlian,1.8,58,china,energy,real estate
1196,mangal prabhat lodha,1.8,64,india,real estate,real estate
1196,joao roberto marinho,1.8,66,brazil,media,media & entertainment
1196,jose roberto marinho,1.8,64,brazil,media,media & entertainment
1196,roberto irineu marinho,1.8,72,brazil,media,media & entertainment
1196,craig mccaw,1.8,70,united states,telecom,telecom
1196,vincent mcmahon,1.8,74,united states,entertainment,sports
1196,miao shouliang,1.8,65,china,real estate,real estate
1196,robert miller,1.8,74,canada,electronics components,technology
1196,tom morris,1.8,65,united kingdom,retail,fashion & retail
1196,david nahmad,1.8,72,monaco,art collection,fashion & retail
1196,jonathan nelson,1.8,63,united states,private equity,finance & investments
1196,vikas oberoi,1.8,49,india,real estate,real estate
1196,tomas olivo lopez,1.8,46,spain,shopping centers,real estate
1196,pan laican,1.8,,china,soy sauce,food & beverage
1196,dmitry pumpyansky,1.8,56,russia,steel pipes,metals & mining
1196,byju raveendran,1.8,38,india,education technology,technology
1196,ren jianhua,1.8,63,china,kitchen appliances,manufacturing
1196,remo ruffini,1.8,58,italy,winter jackets,fashion & retail
1196,robert sands,1.8,61,united states,liquor,food & beverage
1196,christiane schoeller,1.8,,germany,publishing,media & entertainment
1196,thaksin shinawatra,1.8,70,thailand,investments,finance & investments
1196,martua sitorus,1.8,60,indonesia,palm oil,manufacturing
1196,henry swieca,1.8,62,united states,hedge funds,finance & investments
1196,teresita sy-coson,1.8,69,philippines,diversified,diversified
1196,peter szulczewski,1.8,38,canada,e-commerce,technology
1196,leena tewari,1.8,62,india,pharmaceuticals,healthcare
1196,lottie tham & family,1.8,70,sweden,h&m,fashion & retail
1196,clemens toennies & family,1.8,63,germany,meat processing,food & beverage
1196,robert toennies,1.8,41,germany,meat processing,food & beverage
1196,torbjorn tornqvist,1.8,66,sweden,oil trading,energy
1196,hamdi ulukaya,1.8,47,turkey,greek yogurt,food & beverage
1196,todd wagner,1.8,59,united states,online media,media & entertainment
1196,wei ying-chiao,1.8,65,taiwan,food,beverages
1196,evan williams,1.8,48,united states,twitter,technology
1196,wu guanjiang & family,1.8,51,china,pharmaceuticals,healthcare
1196,wu jihan,1.8,34,china,cryptocurrency mining chips,technology
1196,xiong wu,1.8,44,china,software,technology
1196,xue hua,1.8,50,china,agribusiness,manufacturing
1196,yang jian,1.8,48,china,real estate,real estate
1196,ye xiaoping,1.8,57,china,pharmaceuticals,healthcare
1196,zhang zhixiang,1.8,53,china,steel,metals & mining
1196,zhao tao,1.8,54,singapore,pharmaceuticals,healthcare
1267,aras agalarov,1.7,64,russia,real estate,fashion & retail
1267,leslie alexander,1.7,76,united states,sports team,sports
1267,michael ashcroft,1.7,74,united kingdom,security,finance & investments
1267,sezai bacaksiz,1.7,70,turkey,diversified,diversified
1267,aneel bhusri,1.7,54,united states,business software,technology
1267,andrei bokarev,1.7,53,russia,metals,mining
1267,timothy boyle,1.7,70,united states,columbia sportswear,fashion & retail
1267,garrett camp,1.7,41,canada,uber,technology
1267,tony chen,1.7,70,taiwan,electronics,technology
1267,chen yung-tai,1.7,84,taiwan,real estate,real estate
1267,mark coombs,1.7,59,united kingdom,finance,finance & investments
1267,ray davis,1.7,78,united states,pipelines,energy
1267,john de mol,1.7,65,netherlands,tv programs,media & entertainment
1267,aloysio de andrade faria,1.7,99,brazil,banking,finance & investments
1267,michael federmann & family,1.7,76,israel,defense,hotels
1267,fu guangming & family,1.7,66,china,poultry,food & beverage
1267,geng diangen,1.7,63,china,internet,technology
1267,christopher goldsbury,1.7,77,united states,salsa,food & beverage
1267,torstein hagen,1.7,77,norway,cruises,service
1267,david hains,1.7,89,australia,investments,finance & investments
1267,roberto hernandez ramirez,1.7,78,mexico,banking,finance & investments
1267,alan howard,1.7,56,united kingdom,hedge funds,finance & investments
1267,manuel jove,1.7,78,spain,real estate,real estate
1267,baba kalyani,1.7,71,india,engineering,construction & engineering
1267,keeree kanjanapas,1.7,69,thailand,transportation,real estate
1267,mustafa kucuk,1.7,56,turkey,fashion retail,fashion & retail
1267,dominika kulczyk,1.7,42,poland,diversified,finance & investments
1267,lai jianfa,1.7,50,china,express delivery,logistics
1267,lai jianping,1.7,,china,soy sauce,food & beverage
1267,anthony langley,1.7,65,united kingdom,manufacturing,diversified
1267,lau cho kun,1.7,84,malaysia,palm oil,property
1267,jimmy john liautaud,1.7,56,united states,sandwich chain,food & beverage
1267,david lichtenstein,1.7,58,united states,real estate,real estate
1267,bill liu,1.7,37,china,electronics,technology
1267,lu di,1.7,,china,drones,technology
1267,samir mehta,1.7,56,india,pharmaceuticals,power
1267,sudhir mehta,1.7,65,india,pharmaceuticals,power
1267,miao hangen,1.7,55,china,textiles,petrochemicals
1267,miao yongjun,1.7,52,china,clinical diagnostics,healthcare
1267,gary michelson,1.7,71,united states,medical patents,healthcare
1267,gail miller,1.7,76,united states,car dealerships,automotive
1267,vadim moshkovich,1.7,53,russia,agriculture,land
1267,roberto ongpin,1.7,83,philippines,diversified,diversified
1267,maren otto,1.7,,germany,retail,real estate
1267,nihat ozdemir,1.7,70,turkey,diversified,diversified
1267,lee paul & family,1.7,62,united states,packaging,manufacturing
1267,gregorio perez companc,1.7,84,argentina,oil & gas,energy
1267,ajay piramal,1.7,64,india,pharmaceuticals,healthcare
1267,julio ponce lerou,1.7,74,chile,fertilizer,metals & mining
1267,mahendra prasad,1.7,80,india,pharmaceuticals,healthcare
1267,phillip t. (terry) ragon,1.7,70,united states,health it,technology
1267,mochtar riady & family,1.7,90,indonesia,diversified,diversified
1267,brian roberts,1.7,60,united states,comcast,service
1267,kjell inge rokke,1.7,61,norway,shipping,seafood
1267,karl scheufele iii & family,1.7,81,switzerland,jewelry,
1267,vivek chaand sehgal,1.7,63,australia,auto parts,automotive
1267,shin chang-jae,1.7,66,south korea,insurance,finance & investments
1267,song zuowen,1.7,73,china,aluminum,diversified
1267,jeffrey talpins,1.7,45,united states,hedge fund,finance & investments
1267,lucio tan,1.7,85,philippines,diversified,diversified
1267,tony tan caktiong & family,1.7,67,philippines,food,food & beverage
1267,wichai thongtang,1.7,73,thailand,investments,real estate
1267,luiza helena trajano,1.7,68,brazil,retail chain,fashion & retail
1267,wang wenbiao,1.7,63,china,natural gas,fertilizers
1267,charlotte colket weber,1.7,77,united states,campbell soup,food & beverage
1267,david wertheim,1.7,62,israel,coca cola israel,food & beverage
1267,you xiaoping,1.7,62,china,chemicals,spandex
1267,yu peidi,1.7,60,hong kong,real estate,real estate
1335,semahat sevim arsel,1.6,91,turkey,diversified,diversified
1335,angela bennett,1.6,76,australia,mining,metals & mining
1335,o. francis biondi,1.6,55,united states,hedge funds,finance & investments
1335,john bloor,1.6,76,united kingdom,real estate,manufacturing
1335,j. hyatt brown,1.6,82,united states,insurance,finance & investments
1335,thomas bruch & family,1.6,69,germany,retail,fashion & retail
1335,chuck bundrant,1.6,78,united states,fishing,food & beverage
1335,herb chambers,1.6,78,united states,car dealerships,automotive
1335,chen huwen,1.6,49,china,stationery,manufacturing
1335,chen liying,1.6,44,china,package delivery,logistics
1335,chen zhisong,1.6,54,china,communication equipment,technology
1335,kiat chiaravanont,1.6,,thailand,diversified,diversified
1335,euisun chung,1.6,49,south korea,hyundai,logistics
1335,jack cowin,1.6,77,australia,fast food,food & beverage
1335,luigi cremonini & family,1.6,80,italy,meat processing,food & beverage
1335,edward debartolo jr,1.6,73,united states,shopping centers,
1335,antonio del valle ruiz & family,1.6,81,mexico,chemicals,manufacturing
1335,deng wen,1.6,52,china,flavorings,food & beverage
1335,mohammed dewji,1.6,44,tanzania,diversified,diversified
1335,carl douglas,1.6,58,sweden,investments,diversified
1335,eric douglas,1.6,51,sweden,investments,diversified
1335,alfredo egydio arruda villela filho,1.6,50,brazil,banking,finance & investments
1335,walter faria,1.6,65,brazil,beer,food & beverage
1335,clement fayat & family,1.6,88,france,construction,construction & engineering
1335,bernard fraisse,1.6,63,france,pharmaceuticals,healthcare
1335,valentin gapontsev & family,1.6,81,united states,lasers,manufacturing
1335,sam goi,1.6,71,singapore,frozen foods,food & beverage
1335,sergei gordeev,1.6,47,russia,real estate,real estate
1335,shmuel harlap,1.6,75,israel,automotive,automotive
1335,bill haslam,1.6,61,united states,gas stations,fashion & retail
1335,brian higgins,1.6,55,united states,hedge funds,finance & investments
1335,j. tomilson hill,1.6,71,united states,investments,finance & investments
1335,asok kumar hiranandani,1.6,65,singapore,real estate,real estate
1335,lawrence ho,1.6,43,hong kong,casinos,gambling & casinos
1335,jiang yehua & family,1.6,57,china,real estate,real estate
1335,jin lei,1.6,54,china,pharmaceuticals,healthcare
1335,alexander klyachin,1.6,52,russia,real estate,real estate
1335,lam kong,1.6,55,china,pharmaceuticals,healthcare
1335,lee joong-keun,1.6,79,south korea,construction,real estate
1335,li li,1.6,56,china,pharmaceuticals,healthcare
1335,li weiguo,1.6,55,china,construction materials,manufacturing
1335,liang feng,1.6,51,china,manufacturing,manufacturing
1335,lin chen-hai,1.6,73,taiwan,real estate,real estate
1335,lin zhijun,1.6,44,china,medical devices,healthcare
1335,lin zhixiong & family,1.6,46,china,medical devices,healthcare
1335,catherine lozick,1.6,74,united states,valve manufacturing,manufacturing
1335,kalanithi maran,1.6,54,india,media,media & entertainment
1335,harsh mariwala,1.6,68,india,consumer goods,food & beverage
1335,romano minozzi,1.6,85,italy,utilities,diversified
1335,charles munger,1.6,96,united states,berkshire hathaway,finance & investments
1335,nan cunhui,1.6,56,china,power equipment,manufacturing
1335,nelson peltz,1.6,77,united states,investments,finance & investments
1335,markus persson,1.6,40,sweden,computer games,media & entertainment
1335,candido pinheiro koren de lima,1.6,73,brazil,hospitals,health insurance
1335,p.p. reddy,1.6,62,india,infrastructure,construction & engineering
1335,p.v.krishna reddy,1.6,50,india,infrastructure,construction & engineering
1335,matthias reinhart,1.6,60,switzerland,finance,finance & investments
1335,chad richison,1.6,49,united states,payroll processing,technology
1335,ivan savvidis,1.6,61,russia,agribusiness,diversified
1335,maria-elisabeth schaeffler-thumann,1.6,78,germany,auto parts,automotive
1335,antonio luiz seabra,1.6,77,brazil,cosmetics,fashion & retail
1335,martin selig,1.6,82,united states,real estate,real estate
1335,yuri shefler,1.6,52,russia,alcohol,food & beverage
1335,neil shen,1.6,52,hong kong,venture capital,finance & investments
1335,shi wen-long,1.6,92,taiwan,plastics,manufacturing
1335,peter sondakh,1.6,70,indonesia,investments,
1335,thomas steyer,1.6,62,united states,hedge funds,finance & investments
1335,elizabeth sy,1.6,67,philippines,diversified,diversified
1335,oleg tinkov,1.6,52,russia,banking,finance & investments
1335,sunil vaswani,1.6,56,united kingdom,diversified,diversified
1335,sandro veronesi & family,1.6,60,italy,fashion,fashion & retail
1335,jitendra virwani,1.6,54,india,real estate,real estate
1335,wang changtian,1.6,54,china,tv,movie production
1335,anthony wood,1.6,54,united states,roku,technology
1335,wu yulan,1.6,50,china,pharmaceuticals,healthcare
1335,wu zhongyi,1.6,46,china,electronics,technology
1335,xu xudong & family,1.6,50,china,auto parts,automotive
1335,yi xianzhong & family,1.6,60,china,pharmaceuticals,healthcare
1335,yu huijiao,1.6,54,china,package delivery,logistics
1415,marcel adams & family,1.5,99,canada,real estate,real estate
1415,somphote ahunai,1.5,52,thailand,renewable energy,energy
1415,hamdi akin & family,1.5,65,turkey,diversified,diversified
1415,nigel austin,1.5,49,australia,retail,fashion & retail
1415,louis bacon,1.5,63,united states,hedge funds,finance & investments
1415,bang jun-hyuk,1.5,51,south korea,online gaming,technology
1415,harindarpal banga,1.5,69,india,commodities,finance & investments
1415,nicolas berggruen,1.5,58,united states,investments,finance & investments
1415,leonid boguslavsky,1.5,68,russia,venture capital,finance & investments
1415,ahmet calik,1.5,62,turkey,energy,banking
1415,cao ji,1.5,68,china,manufacturing,manufacturing
1415,chan tan ching-fen,1.5,,hong kong,real estate,real estate
1415,chen fashu,1.5,59,china,investments,finance & investments
1415,chen huxiong,1.5,49,china,stationery,manufacturing
1415,chey tae-won,1.5,59,south korea,oil,semiconductor
1415,ivan chrenko,1.5,52,slovakia,real estate,real estate
1415,jacques d'amours,1.5,63,canada,retail,fashion & retail
1415,kommer damen,1.5,76,netherlands,shipbuilding,manufacturing
1415,ana lucia de mattos barretto villela,1.5,46,brazil,banking,finance & investments
1415,d. leopoldo del pino y calvo-sotelo,1.5,57,spain,construction,construction & engineering
1415,stephen feinberg,1.5,60,united states,private equity,finance & investments
1415,frank fertitta iii.,1.5,58,united states,casinos,
1415,lorenzo fertitta,1.5,51,united states,casinos,mixed martial arts
1415,abhay firodia,1.5,75,india,automobiles,automotive
1415,phillip frost,1.5,83,united states,pharmaceuticals,healthcare
1415,yasuhiro fukushima,1.5,72,japan,video games,media & entertainment
1415,mario gabelli,1.5,78,united states,money management,finance & investments
1415,rolf gerling,1.5,65,germany,insurance,finance & investments
1415,alan gerry,1.5,91,united states,cable television,media & entertainment
1415,harsh goenka,1.5,62,india,diversified,diversified
1415,esther grether,1.5,84,switzerland,art collection,fashion & retail
1415,bill gross,1.5,75,united states,investments,finance & investments
1415,gu wei,1.5,55,china,consumer electronics,manufacturing
1415,mehmet nazif gunal,1.5,72,turkey,tourism,construction
1415,guo ziwen,1.5,56,china,real estate,real estate
1415,christian herz,1.5,,germany,coffee,finance & investments
1415,michaela herz,1.5,,germany,coffee,finance & investments
1415,orion hindawi,1.5,40,united states,software,technology
1415,stewart horejsi & family,1.5,82,united states,berkshire hathaway,finance & investments
1415,douglas hsu,1.5,77,taiwan,diversified,diversified
1415,huang wei,1.5,60,china,real estate,real estate
1415,huang xiaofen & family,1.5,58,china,printed circuit boards,technology
1415,bradley jacobs,1.5,63,united states,logistics,logistics
1415,stephen jarislowsky,1.5,94,canada,money management,finance & investments
1415,jia tianjiang & family,1.5,57,china,non-ferrous metals,metals & mining
1415,sergei katsiev,1.5,62,russia,retail,wholesale
1415,michael kim,1.5,56,south korea,investment,finance & investments
1415,seth klarman,1.5,62,united states,investments,finance & investments
1415,mustafa rahmi koc,1.5,89,turkey,diversified,diversified
1415,william koch,1.5,79,united states,oil,investments
1415,andre koo sr.,1.5,52,taiwan,financial services,
1415,christopher kwok,1.5,34,hong kong,real estate,real estate
1415,edward kwok,1.5,39,hong kong,real estate,real estate
1415,james leininger,1.5,75,united states,medical products,healthcare
1415,li guangyu,1.5,56,china,education,service
1415,li liangbin,1.5,52,china,lithium,manufacturing
1415,li xuhui,1.5,51,china,soy sauce,food & beverage
1415,prayudh mahagitsiri,1.5,74,thailand,coffee,shipping
1415,katarina martinson,1.5,38,sweden,investments,diversified
1415,mi enhua,1.5,62,china,retail,fashion & retail
1415,martin moller nielsen,1.5,55,denmark,aircraft leasing,logistics
1415,manuel moroun & family,1.5,92,united states,transportation,logistics
1415,robert mouawad,1.5,75,lebanon,fine jewelry,service
1415,ezra nahmad,1.5,74,monaco,art,finance & investments
1415,stefan olsson,1.5,71,sweden,diversified,diversified
1415,gretel packer,1.5,54,australia,casinos,media & entertainment
1415,ranjan pai,1.5,47,india,education,service
1415,lirio parisotto,1.5,66,brazil,investments,finance & investments
1415,g. rajendran,1.5,77,india,jewellery,fashion & retail
1415,jerry reinsdorf,1.5,84,united states,sports teams,sports
1415,duke reyes,1.5,63,united states,beer distribution,food & beverage
1415,sheryl sandberg,1.5,50,united states,facebook,technology
1415,alice schwartz,1.5,93,united states,biotech,healthcare
1415,peter sperling,1.5,60,united states,education,service
1415,vonnarat tangkaravakoon,1.5,47,thailand,wire & cables,paints
1415,tran ba duong & family,1.5,60,vietnam,automotive,automotive
1415,kenny troutt,1.5,72,united states,telecom,telecom
1415,tseng cheng,1.5,58,taiwan,petrochemicals,manufacturing
1415,john tyson,1.5,66,united states,food processing,food & beverage
1415,wan long,1.5,79,china,food,food & beverage
1415,wei ing-chou,1.5,66,taiwan,food,beverages
1415,wei yin-chun,1.5,63,taiwan,food,beverages
1415,wei yin-heng,1.5,61,taiwan,food,beverages
1415,arne wilhelmsen & family,1.5,90,norway,cruise ships,logistics
1415,wong man li,1.5,55,hong kong,furniture,manufacturing
1415,ian wood & family,1.5,77,united kingdom,energy services,energy
1415,wu junbao,1.5,54,china,education,service
1415,wu yiling,1.5,70,china,pharmaceuticals,healthcare
1415,xia shudong,1.5,47,china,it service,technology
1415,xu shugen,1.5,54,china,construction,mining machinery
1415,vladimir yevtushenkov,1.5,71,russia,telecom,investments
1415,yu faxiang,1.5,48,china,tourism,cultural industry
1415,zhang liaoyuan,1.5,44,china,food,food & beverage
1415,shusheng zheng,1.5,54,china,telecom,telecom
1415,zhou jian,1.5,43,china,robotics,technology
1415,zhu gongshan,1.5,62,china,solar panel materials,manufacturing
1415,zhu xingliang,1.5,60,china,construction,construction & engineering
1415,zhuo jun,1.5,54,hong kong,printed circuit boards,manufacturing
1513,william ackman,1.4,53,united states,hedge funds,finance & investments
1513,farkhad akhmedov,1.4,64,russia,investments,energy
1513,mohamed al fayed,1.4,91,egypt,retail,investments
1513,bill alfond,1.4,71,united states,shoes,fashion & retail
1513,susan alfond,1.4,74,united states,shoes,fashion & retail
1513,ted alfond,1.4,75,united states,shoes,fashion & retail
1513,herbert allen jr & family,1.4,80,united states,investment banking,
1513,ramon ang,1.4,66,philippines,diversified,food & beverage
1513,vasily anisimov,1.4,68,russia,real estate,metals & mining
1513,felix baker,1.4,51,united states,biotech investing,finance & investments
1513,julian baker,1.4,53,united states,investing,finance & investments
1513,john bicket,1.4,40,united states,sensor systems,technology
