Rank,Name,Net Worth (billions of dollars),Age,Source,Country,real source,some wealth inheritance,major wealth inheritance
#877,Arkady Rotenberg,2.6,67,"construction, pipes, banking",Russia,,,
#877,T. Denny Sanford,2.6,83,"banking, credit cards",United States,,,
#877,Vijay Shekhar Sharma,2.6,41,financial technology,India,,,
#877,Lawrence Stroll,2.6,60,fashion investments,Canada,,,
#877,Sun Shoukuan,2.6,69,"metals, coal",China,,,
#877,Wang Wenjing,2.6,54,business software,China,,,
#877,Ty Warner,2.6,74,"real estate, plush toys",United States,,,
#877,Jerry Yang,2.6,50,Yahoo,United States,,,
#877,Ye Chenghai,2.6,75,pharmaceuticals,Hong Kong,,,
#877,Samuel Yin,2.6,68,retail,Taiwan,,,
#877,Zuo Hui,2.6,48,real estate services,China,,,
#916,Somphote Ahunai,2.5,52,energy,Thailand,,,
#916,Abdulla Al Futtaim,2.5,-,"auto dealers, investments",United Arab Emirates,,,
#916,George Argyros,2.5,82,"real estate, investments",United States,,,
#916,John Arrillaga,2.5,82,real estate,United States,,,
#916,Bill Austin,2.5,77,hearing aids,United States,,,
#916,Eva Maria Bucher-Haefner,2.5,62,"Software, Investments",Switzerland,,,
#916,Francesco Gaetano Caltagirone,2.5,76,"cement, diversified",Italy,,,
#916,Subhash Chandra,2.5,68,media,India,,,
#916,Jason Chang,2.5,75,electronics,Singapore,,,
#916,John Paul DeJoria,2.5,75,"hair products, tequila",United States,,,
#916,Philippe Foriel-Destezet,2.5,83,employment agency,France,,,
#916,Jayme Garfinkel,2.5,73,insurance,Brazil,,,
#916,Joseph Grendys,2.5,57,poultry processing,United States,,,
#916,Ji Qi,2.5,52,"hotels, motels",China,,,
#916,Adam Kwok,2.5,36,real estate,Hong Kong,,,
#916,Jonathan Kwok,2.5,30,Real Estate,Hong Kong,,,
#916,Thomas Kwok,2.5,67,real estate,Hong Kong,,,
#916,Aerin Lauder,2.5,49,cosmetics,United States,,,
#916,Maritsa Lazari,2.5,74,real estate,United Kingdom,,,
#916,Eric Lefkofsky,2.5,49,Groupon,United States,,,
#916,Li Zhongchu,2.5,55,software,China,,,
#916,Liang Xinjun,2.5,51,conglomerate,China,,,
#916,Peter Lim,2.5,66,investments,Singapore,,,
#916,Alexander Mamut,2.5,59,investments,Russia,,,
#916,Sergio Mantegazza,2.5,91,travel,Switzerland,,,
#916,Joao Roberto Marinho,2.5,65,media,Brazil,,,
#916,Jose Roberto Marinho,2.5,63,media,Brazil,,,
#916,Roberto Irineu Marinho,2.5,71,media,Brazil,,,
#916,Strive Masiyiwa,2.5,58,telecom,Zimbabwe,,,
#916,Hans Melchers,2.5,81,"chemicals, investments",Netherlands,,,
#916,Najib Mikati,2.5,63,telecom,Lebanon,,,
#916,Taha Mikati,2.5,74,telecom,Lebanon,,,
#916,Pan Weiming,2.5,55,real estate,China,,,
#916,Bob Parsons,2.5,68,web hosting,United States,,,
#916,Renzo Rosso,2.5,63,fashion,Italy,,,
#916,Helmut Sohmen,2.5,79,shipping,Austria,,,
#916,Warren Stephens,2.5,62,investment banking,United States,,,
#916,Alexander Svetakov,2.5,51,real estate,Russia,,,
#916,Peter Thiel,2.5,51,"Facebook, Palantir",United States,,,
#916,Daniel Tsai,2.5,63,finance,Taiwan,,,
#916,Peter Unger,2.5,74,auto repair,Germany,,,
#916,Sunil Vaswani,2.5,56,diversified,United Kingdom,,,
#916,Oprah Winfrey,2.5,65,TV shows,United States,,,
#916,Wu Shaoxun,2.5,63,wine,China,,,
#916,Takao Yasuda,2.5,70,retail,Japan,,,
#916,Denise York,2.5,68,San Francisco 49ers,United States,,,
#962,Aneel Bhusri,2.4,53,business software,United States,,,
#962,Norman Braman,2.4,86,"art, car dealerships",United States,,,
#962,Otto Philipp Braun,2.4,41,medical technology,Germany,,,
#962,Chuck Bundrant,2.4,77,fishing,United States,,,
#962,Cai Dongchen,2.4,66,pharmaceuticals,China,,,
#962,John Caudwell,2.4,66,mobile phones,United Kingdom,,,
#962,Cheng Cheung Ling,2.4,55,pharmaceuticals,China,,,
#962,Jean Coutu,2.4,92,drugstores,Canada,,,
#962,Ray Davis,2.4,77,pipelines,United States,,,
#962,Ana Lucia de Mattos Barretto Villela,2.4,45,banking,Brazil,,,
#962,Marcel Erni,2.4,54,private equity,Switzerland,,,
#962,Kenneth Feld,2.4,70,live entertainment,United States,,,
#962,Alfred Gantner,2.4,51,private equity,Switzerland,,,
#962,Philippe Ginestet,2.4,65,retail stores,France,,,
#962,Torstein Hagen,2.4,76,cruises,Norway,,,
#962,Ji Changqun,2.4,51,real estate,China,,,
#962,Ke Zunhong,2.4,65,pharmaceuticals,China,,,
#962,Kuan Kam Hon,2.4,71,synthetic gloves,Malaysia,,,
#962,Kuok Khoon Hong,2.4,69,palm oil,Singapore,,,
#962,Louis Le Duff,2.4,72,bakeries,France,,,
#962,Low Tuck Kwong,2.4,71,coal,Indonesia,,,
#962,Alexander Machkevich,2.4,65,"mining, metals",Israel,,,
#962,"Stephen Mandel, Jr.",2.4,63,hedge funds,United States,,,
#962,C. Dean Metropoulos,2.4,73,investments,United States,,,
#962,Robert Miller,2.4,74,electronics components,Canada,,,
#962,Patrice Motsepe,2.4,57,mining,South Africa,,,
#962,N.R. Narayana Murthy,2.4,72,software services,India,,,
#962,Maja Oeri,2.4,64,Pharmaceuticals,Switzerland,,,
#962,Tomas Olivo Lopez,2.4,45,shopping centers,Spain,,,
#962,Chuchat & Daonapa Petaumpai,2.4,66,motorcycle loans,Thailand,,,
#962,Hussain Sajwani,2.4,66,real estate,United Arab Emirates,,,
#962,Song Zuowen,2.4,72,"aluminum, diversified",China,,,
#962,Mark Stevens,2.4,59,venture capital,United States,,,
#962,Pat Stryker,2.4,63,medical equipment,United States,,,
#962,Hans Sy,2.4,63,diversified,Philippines,,,
#962,Herbert Sy,2.4,62,diversified,Philippines,,,
#962,Sunny Varkey,2.4,62,education,India,,,
#962,Jitendra Virwani,2.4,53,real estate,India,,,
#962,David Walentas,2.4,80,real estate,United States,,,
#962,Lang Walker,2.4,74,real estate,Australia,,,
#962,Herbert Wertheim,2.4,80,investments,United States,,,
#962,Richard White,2.4,64,software,Australia,,,
#962,Urs Wietlisbach,2.4,57,private equity,Switzerland,,,
#962,Xu Chuanhua,2.4,84,"chemicals, logistics",China,,,
#962,Yeung Kin-man,2.4,55,electronics,Hong Kong,,,
#962,Anita Zucker,2.4,67,chemicals,United States,,,
#1008,Andrey Andreev,2.3,45,online dating,United Kingdom,,,
#1008,Lee Bass,2.3,63,"oil, investments",United States,,,
#1008,Koos Bekker,2.3,66,"media, investments",South Africa,,,
#1008,George Bishop,2.3,81,oil & gas,United States,,,
#1008,Charles Bronfman,2.3,88,liquor,Canada,,,
#1008,Vivek Chand Burman,2.3,82,consumer goods,India,,,
#1008,Bennett Dorrance,2.3,73,Campbell Soup,United States,,,
#1008,Isabel dos Santos,2.3,46,investments,Angola,,,
#1008,Walter Faria,2.3,64,beer,Brazil,,,
#1008,Carlo Fidani,2.3,64,real estate,Canada,,,
#1008,Fiona Geminder,2.3,54,manufacturing,Australia,,,
#1008,David Gottesman,2.3,93,investments,United States,,,
#1008,Stein Erik Hagen,2.3,62,consumer goods,Norway,,,
#1008,Christian Haub,2.3,54,retail,Germany,,,
#1008,Lawrence Ho,2.3,42,casinos,Hong Kong,,,
#1008,Drew Houston,2.3,36,cloud storage service,United States,,,
#1008,Hui Lin Chit,2.3,66,hygiene products,China,,,
#1008,Alijan Ibragimov,2.3,65,"mining, metals",Kazakhstan,,,
#1008,Brad Kelley,2.3,62,tobacco,United States,,,
#1008,Alicia Koplowitz,2.3,65,"construction, investments",Spain,,,
#1008,Lam Wai Ying,2.3,-,smartphone screens,Hong Kong,,,
#1008,Li Gaiteng,2.3,47,hair dryers,China,,,
#1008,Vincent Lo,2.3,70,real estate,Hong Kong,,,
#1008,Mohamed Mansour,2.3,71,diversified,Egypt,,,
#1008,Harsh Mariwala,2.3,68,consumer goods,India,,,
#1008,"Drayton McLane, Jr.",2.3,82,"Walmart, logistics",United States,,,
#1008,Vadim Moshkovich,2.3,52,"agriculture, land",Russia,,,
#1008,Nguyen Thi Phuong Thao,2.3,49,airlines,Vietnam,,,
#1008,"H. Ross Perot, Jr.",2.3,60,real estate,United States,,,
#1008,Candido Pinheiro Koren de Lima,2.3,72,"hospitals, health insurance",Brazil,,,
#1008,Daniel Pritzker,2.3,59,"hotels, investments",United States,,,
#1008,Rajan Raheja,2.3,65,diversified,India,,,
#1008,Stewart Rahr,2.3,73,drug distribution,United States,,,
#1008,P.P. Reddy,2.3,61,infrastructure,India,,,
#1008,Mochtar Riady,2.3,90,diversified,Indonesia,,,
#1008,Stephan Schmidheiny,2.3,71,investments,Switzerland,,,
#1008,Erik Selin,2.3,52,real estate,Sweden,,,
#1008,Shin Chang-jae,2.3,65,insurance,South Korea,,,
#1008,Peter Spuhler,2.3,59,train cars,Switzerland,,,
#1008,Sun Guangxin,2.3,56,diversified,China,,,
#1008,Sze Man Bok,2.3,69,hygiene products,China,,,
#1008,Tong Jinquan,2.3,64,real estate,China,,,
#1008,Torbjorn Tornqvist,2.3,65,oil trading,Sweden,,,
#1008,Alan Trefler,2.3,63,software,United States,,,
#1008,Tung Chee Hwa,2.3,82,shipping,Hong Kong,,,
#1008,Wang Liping,2.3,53,hydraulic machinery,China,,,
#1008,William Young,2.3,78,plastics,United States,,,
#1008,Yu Minhong,2.3,57,education,China,,,
#1008,Zhang Fan,2.3,53,touch screens,China,,,
#1057,Maurice Alter,2.2,94,real estate,Australia,,,
#1057,An Kang,2.2,70,pharmaceuticals,China,,,
#1057,Roberto Angelini Rossi,2.2,70,"forestry, mining",Chile,,,
#1057,Bang Jun-hyuk,2.2,51,online gaming,South Korea,,,
#1057,Ron Baron,2.2,76,money management,United States,,,
#1057,Edward Bass,2.2,73,"oil, investments",United States,,,
#1057,Saeed Bin Butti Al Qebaisi,2.2,-,"hospitals, investments",United Arab Emirates,,,
#1057,Jose and Francisco Jose Calderon Rojas,2.2,-,beverages,Mexico,,,
#1057,Cheng Yixiao,2.2,-,video streaming app,China,,,
#1057,Cho Tak Wong,2.2,73,auto parts,Hong Kong,,,
#1057,Todd Christopher,2.2,56,hair care products,United States,,,
#1057,Jim Coulter,2.2,59,private equity,United States,,,
#1057,Jose Luis Cutrale,2.2,72,orange juice,Brazil,,,
#1057,James Dinan,2.2,60,hedge funds,United States,,,
#1057,Dong Wei,2.2,48,pharmaceuticals,China,,,
#1057,Daniel Ek,2.2,36,Spotify,Sweden,,,
#1057,Alceu Elias Feldmann,2.2,70,fertilizer,Brazil,,,
#1057,Luis Frias,2.2,56,mobile payments,Brazil,,,
#1057,Senapathy Gopalakrishnan,2.2,64,software services,India,,,
#1057,Alec Gores,2.2,66,private equity,United States,,,
#1057,Luciano Hang,2.2,56,department stores,Brazil,,,
#1057,Carlos Hank Rhon,2.2,71,banking,Mexico,,,
#1057,Huang Shih Tsai,2.2,68,real estate,Hong Kong,,,
#1057,Baba Kalyani,2.2,70,engineering,India,,,
#1057,Kim Beom-su,2.2,53,online services,South Korea,,,
#1057,Willibert Krueger,2.2,78,food processing,Germany,,,
#1057,Stephen Lansdown,2.2,66,financial services,Guernsey,,,
#1057,Lin Chen-hai,2.2,72,real estate,Taiwan,,,
#1057,Scott Lin,2.2,86,optical components,Taiwan,,,
#1057,Liu Ming Hui,2.2,56,natural gas distribution,China,,,
#1057,Lu Xiangyang,2.2,56,"automobiles, batteries",China,,,
#1057,Clayton Mathile,2.2,78,pet food,United States,,,
#1057,Jorge Moll Filho,2.2,74,hospitals,Brazil,,,
#1057,Ermirio Pereira de Moraes,2.2,87,diversified,Brazil,,,
#1057,Maria Helena Moraes Scripilliti,2.2,88,diversified,Brazil,,,
#1057,Masahiro Noda,2.2,80,software,Japan,,,
#1057,Florentino Perez,2.2,72,construction,Spain,,,
#1057,Dmitry Pumpyansky,2.2,55,steel pipes,Russia,,,
#1057,Phillip T. (Terry) Ragon,2.2,70,health IT,United States,,,
#1057,Krit Ratanarak,2.2,73,"media, real estate",Thailand,,,
#1057,P.V.Krishna Reddy,2.2,50,infrastructure,India,,,
#1057,Nevaldo Rocha,2.2,89,retail,Brazil,,,
#1057,Remo Ruffini,2.2,57,winter jackets,Italy,,,
#1057,Monika Schoeller,2.2,80,publishing,Germany,,,
#1057,Klaus-Peter Schulenberg,2.2,-,ticketing service,Germany,,,
#1057,Shen Wenrong,2.2,73,steel production,China,,,
#1057,Brian Sheth,2.2,43,investments,United States,,,
#1057,Dan Snyder,2.2,54,Washington Redskins,United States,,,
#1057,Harley Sy,2.2,60,diversified,Philippines,,,
#1057,"Henry Sy, Jr.",2.2,66,diversified,Philippines,,,
#1057,Teresita Sy-Coson,2.2,68,diversified,Philippines,,,
#1057,Katsumi Tada,2.2,74,real estate,Japan,,,
#1057,Lottie Tham,2.2,70,H&M,Sweden,,,
#1057,Oleg Tinkov,2.2,51,banking,Russia,,,
#1057,T.Y. Tsai,2.2,66,finance,Taiwan,,,
#1057,Ted Turner,2.2,80,cable television,United States,,,
#1057,Stefan von Holtzbrinck,2.2,56,publishing,Germany,,,
#1057,Jon Yarbrough,2.2,62,video games,United States,,,
#1057,Charles Zegar,2.2,71,Bloomberg LP,United States,,,
#1116,Mika Anttonen,2.1,52,oil & gas,Finland,,,
#1116,Shyam & Hari Bhartia,2.1,66,Diversified,India,,,
#1116,Thor Bjorgolfsson,2.1,52,investments,Iceland,,,
#1116,Anand Burman,2.1,67,consumer goods,India,,,
#1116,Chang Yun Chung,2.1,100,shipping,Singapore,,,
#1116,Chen Hua,2.1,53,real estate,China,,,
#1116,Chen Jinxia,2.1,51,investments,China,,,
#1116,Ben Chestnut,2.1,45,email marketing,United States,,,
#1116,Patokh Chodiev,2.1,66,"mining, metals",Belgium,,,
#1116,Chu Lam Yiu,2.1,49,flavorings,Hong Kong,,,
#1116,James Clark,2.1,75,"Netscape, investments",United States,,,
#1116,John Collison,2.1,28,payments software,Ireland,,,
#1116,Patrick Collison,2.1,30,payment software,Ireland,,,
#1116,Mark Coombs,2.1,58,finance,United Kingdom,,,
#1116,Aloysio de Andrade Faria,2.1,98,banking,Brazil,,,
#1116,Bernard Fraisse,2.1,62,pharmaceuticals,France,,,
#1116,Sameer Gehlaut,2.1,45,finance,India,,,
#1116,Gordon Getty,2.1,85,Getty Oil,United States,,,
#1116,Caroline Hagen Kjos,2.1,35,conglomerate,Norway,,,
#1116,Bahaa Hariri,2.1,53,"real estate, investments",Lebanon,,,
#1116,Georg Haub,2.1,57,retail,Germany,,,
#1116,Hans-Werner Hector,2.1,79,SAP,Germany,,,
#1116,Huang Zhenda,2.1,71,construction,China,,,
#1116,Ravi Jaipuria,2.1,64,soft drinks,India,,,
#1116,Vinod Khosla,2.1,64,venture capital,United States,,,
#1116,Osman Kibar,2.1,48,biotech,United States,,,
#1116,Dan Kurzius,2.1,47,email marketing,United States,,,
#1116,Christian Latouche,2.1,79,accounting services,France,,,
#1116,Thai Lee,2.1,60,IT provider,United States,,,
#1116,Liang Yunchao,2.1,50,nutrition supplements,China,,,
#1116,Lin Ming-hsiung,2.1,69,supermarkets,Taiwan,,,
#1116,Liu Hanyuan,2.1,55,agribusiness,China,,,
#1116,Jeffrey Lurie,2.1,67,Philadelphia Eagles,United States,,,
#1116,Igor Makarov,2.1,57,investments,Russia,,,
#1116,Daniel Mate,2.1,56,"mining, commodities",Spain,,,
#1116,Aristotelis Mistakidis,2.1,57,"mining, commodities",Greece,,,
#1116,Bobby Murphy,2.1,31,Snapchat,United States,,,
#1116,Nandan Nilekani,2.1,64,software services,India,,,
#1116,Husnu Ozyegin,2.1,74,"finance, diversified",Turkey,,,
#1116,Alexey Repik,2.1,39,pharmaceuticals,Russia,,,
#1116,Antony Ressler,2.1,57,finance,United States,,,
#1116,Luigi Rovati,2.1,90,pharmaceuticals,Italy,,,
#1116,Michael & Reiner Schmidt-Ruthenbeck,2.1,76,retail,Germany,,,
#1116,Shen Guojun,2.1,56,retail,China,,,
#1116,Kavitark Ram Shriram,2.1,62,"venture capital, Google",United States,,,
#1116,Evan Spiegel,2.1,29,Snapchat,United States,,,
#1116,Arvind Tiku,2.1,49,"oil & gas, investments",India,,,
#1116,Georg von Opel,2.1,53,"real estate, investments",Switzerland,,,
#1116,Elaine Wynn,2.1,77,"casinos, hotels",United States,,,
#1116,Michael Ying,2.1,69,retail,Hong Kong,,,
#1116,Zhang Xiugen,2.1,58,automobiles,China,,,
#1116,Zhang Xuansong,2.1,47,supermarkets,China,,,
#1168,S. Daniel Abraham,2,94,Slim-Fast,United States,,,
#1168,Aziz Akhannouch,2,58,"petroleum, diversified",Morocco,,,
#1168,Leslie Alexander,2,76,sports team,United States,,,
#1168,"Herbert Allen, Jr.",2,79,investment banking,United States,,,
#1168,Semahat Sevim Arsel,2,90,diversified,Turkey,,,
#1168,Thomas Bruch,2,69,retail,Germany,,,
#1168,Nikolai Buinov,2,52,"oil, gas",Russia,,,
#1168,Chen Tei-Fu,2,71,herbal products,Taiwan,,,
#1168,Chen Yung-Tai,2,83,real estate,Taiwan,,,
#1168,Kiat Chiaravanont,2,-,diversified,Thailand,,,
#1168,Steve Conine,2,46,online retail,United States,,,
#1168,Dulce Pugliese de Godoy Bueno,2,71,"hospitals, health care",Brazil,,,
#1168,Bergit Douglas,2,72,consumer goods,Germany,,,
#1168,Glenn Dubin,2,62,hedge funds,United States,,,
#1168,"Frank Fertitta, III.",2,57,"casinos, mixed martial arts",United States,,,
#1168,Lorenzo Fertitta,2,50,"casinos, mixed martial arts",United States,,,
#1168,Phillip Frost,2,82,pharmaceuticals,United States,,,
#1168,Alexandre Grendene Bartelle,2,69,shoes,Brazil,,,
#1168,Gu Yuhua,2,69,furniture,China,,,
#1168,Jeffrey Gundlach,2,60,investments,United States,,,
#1168,W. Herbert Hunt,2,90,oil,United States,,,
#1168,Bruce Karsh,2,63,private equity,United States,,,
#1168,Martin Lau,2,46,e-commerce,Hong Kong,,,
#1168,Henry Laufer,2,73,hedge funds,United States,,,
#1168,Thomas Lee,2,75,private equity,United States,,,
#1168,Li Haiyan,2,-,restaurants,China,,,
#1168,Lin Chang Su-O,2,78,real estate,Taiwan,,,
#1168,Lin Xiucheng,2,63,electronics,China,,,
#1168,Harald Link,2,64,diversified,Thailand,,,
#1168,Lu Weiding,2,48,diversified,China,,,
#1168,Rudy Ma,2,79,finance,Taiwan,,,
#1168,Howard Marks,2,73,private equity,United States,,,
#1168,Alexander Nesis,2,56,"metals, banking, fertilizers",Russia,,,
#1168,Alfred Oetker,2,52,consumer goods,Germany,,,
#1168,August Oetker,2,75,consumer goods,Germany,,,
#1168,Carl Ferdinand Oetker,2,46,consumer goods,Germany,,,
#1168,Christian Oetker,2,71,consumer goods,Germany,,,
#1168,Julia Oetker,2,40,consumer goods,Germany,,,
#1168,Richard Oetker,2,68,consumer goods,Germany,,,
#1168,Kazuo Okada,2,76,casinos,Japan,,,
#1168,"Nicholas Pritzker, II.",2,75,"hotels, investments",United States,,,
#1168,Qian Dongqi,2,61,household appliances,China,,,
#1168,Helena Revoredo,2,72,security services,Spain,,,
#1168,Ferit Faik Sahenk,2,55,diversified,Turkey,,,
#1168,Rosely Schweizer,2,79,consumer goods,Germany,,,
#1168,Niraj Shah,2,45,online retail,United States,,,
#1168,Shi Yonghong,2,50,restaurants,China,,,
#1168,Tim Sweeney,2,48,video games,United States,,,
#1168,Tang Yiu,2,85,fashion retail,Hong Kong,,,
#1168,Prachak Tangkaravakoon,2,75,paints,Thailand,,,
#1168,Masateru Uno,2,72,drugstores,Japan,,,
#1168,Wang Changtian,2,54,"TV, movie production",China,,,
#1168,Wang Chaobin,2,63,real estate,China,,,
#1168,Wang Laichun,2,52,electronics components,China,,,
#1168,Wang Laisheng,2,54,electronics components,China,,,
#1168,Wang Wenbiao,2,62,"natural gas, fertilizers",China,,,
#1168,Wang Yanqing,2,53,electrical equipment,China,,,
#1168,Wu Yulan,2,49,pharmaceuticals,China,,,
#1168,Eddie & Sol Zakay,2,-,Real Estate,United Kingdom,,,
#1227,Aras Agalarov,1.9,63,real estate,Russia,,,
#1227,Albert Berner,1.9,84,fasteners,Germany,,,
#1227,Ahmet Calik,1.9,61,"energy, banking, construction",Turkey,,,
#1227,Chan Tan Ching-fen,1.9,-,real estate,Hong Kong,,,
#1227,Chen Jianhua,1.9,48,chemicals,China,,,
#1227,Alexandra Daitch,1.9,56,Cargill,United States,,,
#1227,Dermot Desmond,1.9,69,finance,Ireland,,,
#1227,Mohammed Dewji,1.9,44,diversified,Tanzania,,,
#1227,Abhay Firodia,1.9,74,automobiles,India,,,
#1227,Maria Franca Fissolo,1.9,84,"Nutella, chocolates",Italy,,,
#1227,Gao Dekang,1.9,67,apparel,China,,,
#1227,Serge Godin,1.9,69,information technology,Canada,,,
#1227,Sam Goi,1.9,70,frozen foods,Singapore,,,
#1227,David Hains,1.9,88,Investments,Australia,,,
#1227,Chang-Woo Han,1.9,88,pachinko parlors,Japan,,,
#1227,William Heinecke,1.9,70,hotels,Thailand,,,
#1227,Stewart Horejsi,1.9,81,Berkshire Hathaway,United States,,,
#1227,Stanley Hubbard,1.9,86,DirecTV,United States,,,
#1227,Jim Kavanaugh,1.9,56,IT provider,United States,,,
#1227,Mustafa Rahmi Koc,1.9,88,diversified,Turkey,,,
#1227,Chris Larsen,1.9,59,cryptocurrency,United States,,,
#1227,Thomas Lau,1.9,65,department stores,Hong Kong,,,
#1227,William Lauder,1.9,59,Estee Lauder,United States,,,
#1227,Lu Di,1.9,-,drones,China,,,
#1227,Sarah MacMillan,1.9,65,Cargill,United States,,,
#1227,Mao Lixiang,1.9,78,cooking appliances,China,,,
#1227,Kishore Mariwala,1.9,84,consumer goods,India,,,
#1227,Miao Shouliang,1.9,64,real estate,China,,,
#1227,Lachhman Das Mittal,1.9,88,tractors,India,,,
#1227,Farhad Moshiri,1.9,64,diversified,United Kingdom,,,
#1227,David Murdock,1.9,96,"Dole, real estate",United States,,,
#1227,Nan Cunhui,1.9,56,power equipment,China,,,
#1227,Vikas Oberoi,1.9,48,real estate,India,,,
#1227,Ranjan Pai,1.9,46,education,India,,,
#1227,Kevin Plank,1.9,46,Under Armour,United States,,,
#1227,Jennifer Pritzker,1.9,68,"hotels, investments",United States,,,
#1227,Linda Pritzker,1.9,65,"hotels, investments",United States,,,
#1227,Larry Robbins,1.9,49,hedge funds,United States,,,
#1227,Rodney Sacks,1.9,69,energy drinks,United States,,,
#1227,Filiz Sahenk,1.9,52,diversified,Turkey,,,
#1227,Jean Salata,1.9,53,finance,Chile,,,
#1227,"Karl Scheufele, III.",1.9,80,jewelry,Switzerland,,,
#1227,Hilton Schlosberg,1.9,66,energy drinks,United Kingdom,,,
#1227,Lucy Stitzer,1.9,59,Cargill,United States,,,
#1227,William Stone,1.9,64,software,United States,,,
#1227,Konstantin Strukov,1.9,60,"gold, coal mining",Russia,,,
#1227,Su Suyu,1.9,70,"utilities, real estate",China,,,
#1227,Elizabeth Sy,1.9,67,diversified,Philippines,,,
#1227,Katherine Tanner,1.9,63,Cargill,United States,,,
#1227,Alain Taravella,1.9,71,real estate,France,,,
#1227,Leena Tewari,1.9,61,pharmaceuticals,India,,,
#1227,John Tyson,1.9,65,food processing,United States,,,
#1227,Amy Wyss,1.9,48,medical equipment,United States,,,
#1227,David Zalik,1.9,45,financial technology,United States,,,
#1281,Melih Abdulhayoglu,1.8,51,internet security,Turkey,,,
#1281,Joao Alves de Queiroz Filho,1.8,66,pharmaceuticals,Brazil,,,
#1281,Carol Jenkins Barnett,1.8,62,Publix supermarkets,United States,,,
#1281,Othman Benjelloun,1.8,86,"banking, insurance",Morocco,,,
#1281,William Berkley,1.8,72,insurance,United States,,,
#1281,Jaime Botin,1.8,83,banking,Spain,,,
#1281,Julio Bozano,1.8,83,banking,Brazil,,,
#1281,Chen Kaixuan,1.8,61,household chemicals,China,,,
#1281,Vivien Chen,1.8,60,real estate,Hong Kong,,,
#1281,Chin Jong Hwa,1.8,61,auto parts,Taiwan,,,
#1281,Christopher Cline,1.8,61,coal,United States,,,
#1281,Jack Cowin,1.8,77,fast food,Australia,,,
#1281,Jacques D'Amours,1.8,62,retail,Canada,,,
#1281,John de Mol,1.8,64,television,Netherlands,,,
#1281,Robert Duggan,1.8,75,pharmaceuticals,United States,,,
#1281,John Farber,1.8,93,chemicals,United States,,,
#1281,James France,1.8,74,"Nascar, racing",United States,,,
#1281,Valentin Gapontsev,1.8,80,lasers,United States,,,
#1281,Harsh Goenka,1.8,61,diversified,India,,,
#1281,Sergei Gordeev,1.8,46,real estate,Russia,,,
#1281,Suat Gunsel,1.8,66,"real estate, education",Cyprus,,,
#1281,Bill Haslam,1.8,60,truck stops,United States,,,
#1281,Roberto Hernandez Ramirez,1.8,77,banking,Mexico,,,
#1281,Hortensia Herrero,1.8,69,supermarkets,Spain,,,
#1281,Jiang Weiping,1.8,64,chemicals,China,,,
#1281,Jiang Yehua,1.8,56,real estate,China,,,
#1281,Michael Jordan,1.8,56,"Charlotte Hornets, endorsements",United States,,,
#1281,Keeree Kanjanapas,1.8,68,transportation,Thailand,,,
#1281,William Koch,1.8,79,"oil, investments",United States,,,
#1281,Koo Kwang-mo,1.8,41,LG,South Korea,,,
#1281,Dominika Kulczyk,1.8,41,diversified,Poland,,,
#1281,Christopher Kwok,1.8,33,real estate,Hong Kong,,,
#1281,Edward Kwok,1.8,38,real estate,Hong Kong,,,
#1281,Raymond Kwok,1.8,66,real estate,Hong Kong,,,
#1281,Marc Lasry,1.8,58,hedge funds,United States,,,
#1281,Lee Boo-jin,1.8,48,"computer services, tourism",South Korea,,,
#1281,Michael Lee-Chin,1.8,68,mutual funds,Canada,,,
#1281,Li Li,1.8,55,pharmaceuticals,China,,,
#1281,David Lichtenstein,1.8,57,real estate,United States,,,
#1281,Yusaku Maezawa,1.8,43,online retail,Japan,,,
#1281,Craig McCaw,1.8,69,telecom,United States,,,
#1281,Manuel Moroun,1.8,92,transportation,United States,,,
#1281,David Nahmad,1.8,72,art collection,Monaco,,,
#1281,Jonathan Nelson,1.8,63,private equity,United States,,,
#1281,Stefan Olsson,1.8,70,diversified,Sweden,,,
#1281,Clive Palmer,1.8,65,mining,Australia,,,
#1281,Park Hyeon-joo,1.8,60,mutual funds,South Korea,,,
#1281,Heloise Pratt,1.8,56,"manufacturing, investment",Australia,,,
#1281,Ren Jianhua,1.8,62,kitchen appliances,China,,,
#1281,Francisco Jose Riberas Mera,1.8,55,"steel, autoparts",Spain,,,
#1281,Juan Maria Riberas Mera,1.8,50,steel,Spain,,,
#1281,Brian Roberts,1.8,60,Comcast,United States,,,
#1281,Stephen Rubin,1.8,82,sports apparel,United Kingdom,,,
#1281,Carlos Sanchez,1.8,57,generic drugs,Brazil,,,
#1281,Leonard Schleifer,1.8,67,pharmaceuticals,United States,,,
#1281,Thaksin Shinawatra,1.8,69,investments,Thailand,,,
#1281,Shu Ping,1.8,49,restaurants,Singapore,,,
#1281,Shum Chiu Hung,1.8,49,real estate,China,,,
#1281,Sylvia Stroeher,1.8,64,cosmetics,Germany,,,
#1281,David Teoh,1.8,63,telecom,Australia,,,
#1281,Wichai Thongtang,1.8,72,investments,Thailand,,,
#1281,Sandro Veronesi,1.8,59,fashion,Italy,,,
#1281,Todd Wagner,1.8,58,online media,United States,,,
#1281,Ronald Wanek,1.8,78,furniture,United States,,,
#1281,Wei Shaojun,1.8,56,real estate,China,,,
#1281,Zhong Shanshan,1.8,64,"beverage, pharmaceutical",China,,,
#1281,Zhu Baoguo,1.8,57,pharmaceuticals,China,,,
#1281,Zhu Gongshan,1.8,61,solar panel materials,China,,,
#1349,Marcel Adams,1.7,98,real estate,Canada,,,
